Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
20 Somerset Building,302782000,College/University,20 Somerset Street,103599,College/University,8133006.1,1,,,,,,,,
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,"304615000, 304616000, 304617000",Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,118000,Office,7814741.1,0.560410453,,0.439589547,,,,,,
200 Berkeley,401115000,Financial Office,200 Berkeley Street,1075753,"Data Center, Financial Office",56014086.3,0.6687215,,0.331278498,,,,,89,
200 Clarendon Street,401134000,Office,200 Clarendon Street,2039467,"Office, Parking",198713788.3,0.522265855,,0.477734145,,,,,70,
200 Portland St,301672000,Office,200 Portland St,97462,Office,8030685.4,0.455575697,0.54442429,,,,,,67,
200 State Street,303790000,Office,200 State Street,365702,"Office, Parking",27392436.7,1,,,,,,,56,
201-207 South Street,305348000,Office,201-207 South Street,85103,Office,4839908.7,0.290950385,0.709049615,,,,,,86,
2018 Commonwealth Avenue,2102462000,Multifamily Housing,2018 Commonwealth Avenue,19824,Multifamily Housing,260939.5,1,,,,,,,100,
20-28 Cummington Street (24 Cummington St),2100288000,Laboratory,20-28 Cummington Street (24 Cummington St),188575,Laboratory,49609511.4,0.628807822,0.37119218,,,,,,,
205 Portland Street,301651000,Office,205 Portland Street,48869,"Office, Retail Store",1015230.2,0.709493276,0.290506823,,,,,,,
21 Custom House,303988000,Office,21 Custom House Street,105197,"Office, Parking",7674604.6,1,,,,,,,67,
211 Congress Street,304398000,Office,211 Congress Street,78101,Office,6592895.4,0.437453626,0.562546389,,,,,,63,
213-217 Bay State Road,504079000,Worship Facility,213-217 Bay State Road,130204,Worship Facility,5260910,0.392757622,0.607242378,,,,,,,
214 Newbury Street,503227000,Other - Mall,206-214 Newbury Street,41060,Other - Mall,657487.8,0.907490755,0.092509245,,,,,,,
2-16 hyde Park Ave,1103654000,Retail Store,2-16 Hyde park ave ,35328,"Multifamily Housing, Retail Store",Not Available,,,,,,,,,
216 Tremont,304909000,College/University,216 Tremont Street,45388,College/University,3529687,0.479811581,,0.520188419,,,,,,
2165 Dot Ave LLC,1704098000,Multifamily Housing,2165 Dorchester Avenue,27300,Multifamily Housing,87820,1,,,,,,,100,
217 231 Friend Street,301593000,Office,225 Friend Street,60000,"Office, Parking",1733395481,0.001370933,,0.998629067,,,,,1,
22 Boston Wharf Road,602648010,Parking,22 Boston Wharf Road,123875,"Office, Parking",13060053.7,0.611525357,0.388474643,,,,,,,
22 LLC,303828000,Office,22 BatteryMarch St,40000,Office,2515192,0.506558545,0.493441415,,,,,,69,
2-22 Foodmart Road,801024020,Manufacturing/Industrial Plant,2-22 Foodmart Road,111280,"Manufacturing/Industrial Plant, Parking",19077925.6,0.882440049,0.117559951,,,,,,,
22-24 Buswell Street,"2100199000, 2100200000",Multifamily Housing,22-24 Buswell Street,35036,Multifamily Housing,2170030.5,0.130991892,0.869008108,,,,,,89,
223-225 Columbia Rd,1400064000,Multifamily Housing,223-225 Columbia Road,12702,Multifamily Housing,1013359,0.168276889,0.831723012,,,,,,,
225 Centre LLC,1100896020,Multifamily Housing,225 Centre St,105949,"Multifamily Housing, Parking, Retail Store",6455614.1,0.228773588,0.771226428,,,,,,94,
225 Franklin Street,304134000,Office,225 Franklin Street,1045851,"Data Center, Office, Parking",74037280.5,0.627333173,,0.372666827,,,,,78,
225 Franklin Street,304134000,Office,225 Franklin Street,1045851,"Data Center, Office, Parking",74037280.5,0.627333173,,0.372666827,,,,,78,
226 Causeway Street,303061020,Office,226 Causeway Street,192890,Office,23741577.5,0.678040337,0.321959663,,,,,,17,
226 POND STREET,1902006000,Multifamily Housing,29 Pond St.,28000,Multifamily Housing,5302771.7,0.141086444,0.858913556,,,,,,1,
227 ANNAPOLIS,1301797000,Multifamily Housing,52 Sumner St.,57800,Multifamily Housing,4704767.6,0.172541105,0.827458895,,,,,,32,
228 ASHMONT,1603120000,Multifamily Housing,374 Ashmont St,21600,Multifamily Housing,6002692.3,0.11570733,0.88429267,,,,,,1,
229 HOLGATE,1202342000,Multifamily Housing,129 Elm Hill Ave.,63162,Multifamily Housing,10528944.8,0.125546332,0.874453668,,,,,,1,
230 FOLEY,701516000,Multifamily Housing,199 H St.,84224,Multifamily Housing,7475824.7,0.267961259,0.732038741,,,,,,34,
232 GROVELAND,1800112000,Multifamily Housing,15 Mary Moore Beatty Circle,36000,Multifamily Housing,1804998.5,1,,,,,,,20,
23-29 Mt Pleasant Ave,802573000,Multifamily Housing,23-29 Mount Pleasant Avenue,15716,Multifamily Housing,1434502,0.051578248,0.948421822,,,,,,,
233 Bay State Road,2100356000,College/University,233 Bay State Road,19300,College/University,1564841.6,0.553498386,0.446501614,,,,,,,
234 Berk,501295000,Retail Store,234 Berkeley Street,44000,Retail Store,Not Available,,,,,,,,,
234 DAVISON,1804470000,Multifamily Housing,101 Davison St.,30600,Multifamily Housing,958370.9,1,,,,,,,90,
235 WASHINGTON STREET,2101840000,Multifamily Housing,91-95 Washington St.,39204,Multifamily Housing,8159483.3,0.129041014,0.870958986,,,,,,2,
236 WEST NINTH STREET,700386000,Multifamily Housing,195 West Ninth St.,73000,Multifamily Housing,7050645.6,0.160020708,0.839979292,,,,,,21,
237 J.J. CARROLL,2102552000,Multifamily Housing,130 Chestnut Hill Ave,54100,Multifamily Housing,6188007.6,0.150025511,0.849974489,,,,,,10,
238 MEADE APARTMENTS,1700958000,Multifamily Housing,5 Melville Ave,29984,Multifamily Housing,3595734.9,0.202913207,0.797086821,,,,,,5,
239 Causeway Street,301517000,Office,239 Causeway Street,66225,Office,2190560.8,0.321624581,0.678375419,,,,,,,
24 Federal Street,304672000,Office,24 Federal Street,73686,Office,6498049.8,0.544278623,0.455721361,,,,,,50,
240 MLK TOWERS,1201140000,Multifamily Housing,280 MLK Jr. Blvd,95200,Multifamily Housing,8656043.1,0.214443676,0.785556324,,,,,,29,
241 EVA WHITE (CASTLE SQ),"500478004, 500478003",Multifamily Housing,440 Tremont St.,104748,Multifamily Housing,7459415.7,0.266403493,0.733596507,,,,,,46,
241 St. Botolph,402281000,College/University,241 St. Botolph Street,60000,College/University,3673111.5,0.324556115,0.675443857,,,,,,,
242 WALNUT PARK,1101630000,Multifamily Housing,1990 Columbus Ave.,121640,Multifamily Housing,9344718.3,0.705679303,0.294320697,,,,,,11,
244 FREDERICK DOUGLAS,402595000,Multifamily Housing,755 Tremont St.,55472,Multifamily Housing,4575827.2,0.776697949,0.223302073,,,,,,3,
245 AMORY STREET,1101208000,Multifamily Housing,125 Amory St.,156000,Multifamily Housing,Not Available,,,,,,,,,
247 GENERAL WARREN,203861000,Multifamily Housing,114 Rutherford Ave.,88600,Multifamily Housing,4268492.3,0.493224364,0.506775636,,,,,,64,
249 A Street,602752000,Multifamily Housing,249 A Street,79916,Multifamily Housing,3212206.1,0.224379843,,,0.775620188,,,,92,
249 TORRE UNIDAD,900095000,Multifamily Housing,80 West Dedham St.,128250,Multifamily Housing,10909944,0.719074397,0.280925612,,,,,,,
25 Buick Street,2100400000,Office,25 Buick Street,96215,"Office, Parking",11412264,0.480169211,0.519830789,,,,,,41,
25 Channel Center Condominium Trust,602751100,Multifamily Housing,25 Channel Center,131888,Multifamily Housing,4758574.4,0.416255339,0.583744661,,,,,,98,
25 James O'Neil S,700540130,Multifamily Housing,25 James O'Neil St,61678,Multifamily Housing,4227845.2,0.400697902,0.599302098,,,,,,61,
25 New Chardon Street (207),302622000,Office,25 New Chardon Street,111338,"Office, Parking",11403684.8,0.408622825,0.591377175,,,,,,52,
25 Park Drive,504238000,Multifamily Housing,25 Park Drive,26150,Multifamily Housing,622147.5,1,,,,,,,97,
250 Beacon Street Condominium,502633000,Multifamily Housing,250 Beacon Street,40671,Multifamily Housing,3456400.6,0.048113896,0.951886104,,,,,,36,
250 ROCKLAND TOWERS,2011609000,Multifamily Housing,5300 Washington St.,47460,Multifamily Housing,3132779.7,0.834967106,0.165032894,,,,,,,
250 Summer Street,"602701001, 602701002",Office,250 Summer Street,104728,Office,5020237.7,0.882515523,0.117484477,,,,,,83,
251 Causeway,301510000,Office, 251 Causeway Street,150097,"Medical Office, Office",8181431.1,0.934604571,0.065395429,,,,,,82,
251 CODMAN,1704614000,Multifamily Housing,784 Washington St.,64230,Multifamily Housing,9164482.2,0.238388351,0.76161166,,,,,,,
252 HERITAGE,"105398000, 105399000, 105401000",Multifamily Housing,209 Sumner St.,278674,Multifamily Housing,16858713.2,0.407065594,0.592934412,,,,,,57,
253 ST. BOTOLPH,400975000,Multifamily Housing,70 St. Botolph St.,90944,Multifamily Housing,5868891.4,0.775620196,0.224379804,,,,,,24,
253 Summer/27 Melcher,"601163005, 601163015, 601163025, 601164005",Office,253 summer st,216012,"Office, Restaurant",14362209.3,0.225474092,0.774525908,,,,,,89,
254 PASCIUCCO,1502943000,Multifamily Housing,330 Bowdoin St.,64830,Multifamily Housing,5781718.7,0.326063874,0.673936126,,,,,,,
255 St. Botolph Street SLPC,402281000,College/University,255 St. Botolph Street,135000,College/University,11478716.2,0.499276565,0.500723435,,,,,,,
255 State Street Building,303821000,Office,255 State Street,220519,Office,19813495.8,0.754642929,0.245357071,,,,,,49,
255-The Envoy Hotel,602640010,Hotel,70 Sleeper Street,83701,Hotel,9808145.9,0.535987724,0.464012276,,,,,,35,
257 LOWER MILLS,1703554000,Multifamily Housing,2262 Dorchester Ave.,110110,Multifamily Housing,8897046,0.242653404,0.757346596,,,,,,70,
25833-Brighton/Lincoln ST,2200972000,Self-Storage Facility,156 Lincoln St,113000,Self-Storage Facility,1622534.3,0.580902542,0.419097519,,,,,,,
26 West Broadway (Whole Building): 26 West Broadway (Whole Building),600026000,Multifamily Housing,26 West Broadway,30303,Multifamily Housing,2064917.6,0.731611566,0.268388434,,,,,,17,
26 West Street,304840000,Office,26 30 West Street,57593,"Office, Vocational School",2637523.8,0.736623154,0.263376884,,,,,,,
260 Franklin Street,304023000,Office,260 Franklin Street,372562,"Office, Parking",20381289.5,1,,,,,,,80,
261 AUSONIA HOMES,303560000,Multifamily Housing,185 Fulton St.,97300,Multifamily Housing,6087711.6,0.276548383,0.723451617,,,,,,65,
262 HASSAN,1801546000,Multifamily Housing,705 River St.,60440,Multifamily Housing,5433106.8,1,,,,,,,,
263 / 259 Summer,602702000,Office,263 Summer Street,64564,Office,5619347.7,0.697968609,0.302031391,,,,,,64,
264-270 Bay State Road,2100360000,Office,264-270 Bay State Road,65016,Office,7623978.2,0.11894247,0.88105753,,,,,,62,
264-270 Comm Ave,"503192000, 503193000",Residence Hall/Dormitory,262-270 Comm Ave,60170,Residence Hall/Dormitory,4959403.2,0.199711248,0.800288752,,,,,,,
265 Franklin Street,304035000,Office,265 Franklin Street,364493,"Data Center, Office, Parking",20679207,0.788004264,,0.211995736,,,,,80,
26570 - Boston Commons 19,304870408,Movie Theater,175 Tremont Street,113000,Movie Theater,8189311.6,1,,,,,,,,
266 Summer Street,602701000,Office,266 Summer Street,45673,"Office, Parking",3041649.1,0.91568028,0.08431972,,,,,,77,
2665 - W ROXBURY,2009216400,Retail Store,1213 VFW Parkway,123596,Retail Store,10450705,0.525954527,0.474045473,,,,,,55,
2679 - SOUTH BAY/BOSTON,703501080,Retail Store,5 Allstate Road,130520,Retail Store,4391541.1,0.230780511,0.769219512,,,,,,100,
268 Summer Street,602700000,Office,268 Summer Street,69916,Office,3296469.6,1,,,,,,,66,
27 Drydock: 27 Dry Dock Avenue,602674014,Office,27 Dry Dock Avenue,281600,Office,21882444.7,0.553731896,0.446268104,,,,,,66,
27 School Street,302864000,Office,27 School Street,56742,Office,4780903.3,0.781670694,0.045829959,0.172499368,,,,,40,
270 SPRING STREET,2008899005,Multifamily Housing,23 Spring St.,76800,Multifamily Housing,2958124.8,1,,,,,,,59,
27016-Mattapan(Hydepk)/River St,1804365000,Self-Storage Facility,800 River Street,50700,Self-Storage Facility,899819.8,0.372429902,0.627570098,,,,,,,
271 PATRICIA WHITE,2102001000,Multifamily Housing,20 Washington St.,271704,Multifamily Housing,12824701.1,0.347989412,0.652010588,,,,,,81,
272 ROSLYN,1805623000,Multifamily Housing,1 Cliffmont St.,130920,Multifamily Housing,9371424.9,0.259421499,0.740578511,,,,,,53,
273-277 Babcock Street,2100402000,Residence Hall/Dormitory,273-277 Babcock Street,451494,Residence Hall/Dormitory,50522193.7,0.271817615,0.728182385,,,,,,34,
274 Summer Street,602699000,Office,274 Summer St,68201,"Office, Restaurant",5198247.3,1,,,,,,,54,
277 BELLFLOWER,703210000,Multifamily Housing,24 Bellflower St.,85000,Multifamily Housing,4849152.1,0.310174453,0.689825547,,,,,,80,
278-286 Babcock Street,2100479000,Parking,278-286 Babcock Street,67992,Parking,929939.5,1,,,,,,,,
28 State Street,303694000,Office,28 State Street,656894,"Bank Branch, Data Center, Office, Parking, Restaurant",42951558.2,1,,,,,,,76,
28 Travis,2200254000,Office,28 Travis St,43190,Office,3043122.1,0.506151561,0.493848472,,,,,,54,
280 Summer Street,"602697000, 602698000",Office,280,138350,Office,8089706.3,0.528514329,,,0.471485671,,,,,
281 Summer Street,"602703000, 602704000",Office,273-281 Summer Street,168408,Office,8649547.2,0.922823717,0.077176294,,,,,,72,
283 PEABODY SQUARE,1601530000,Multifamily Housing,1875 Dorchester Ave,73200,Multifamily Housing,3608176.1,0.541956087,0.458043913,,,,,,,
"285 Babcock, Case Center",2100402000,Indoor Arena,"285 Babcock, Case Center",131857,Indoor Arena,31485563.8,0.436162499,0.563837501,,,,,,,
285 Columbus Ave LLC,400548010,Multifamily Housing,285 Columbus Primary CNDO,107833,Multifamily Housing,5305635.5,0.694376819,0.305623181,,,,,,54,
285 Summer Street,602705000,Office,285 Summer Street,49294,"Office, Parking",2723563.9,0.918672736,0.081327264,,,,,,59,
290 JOSEPH C. MALONE,1811091000,Multifamily Housing,11 Gordon Ave,82800,Multifamily Housing,4953421.8,0.256522471,0.743477529,,,,,,77,
29187-Boston / Southampton Street,700074020,Self-Storage Facility,290 Southampton Street,73400,Self-Storage Facility,1805539.8,0.298990806,0.701009194,,,,,,,
294 Washington Street,303907000,Office,294 Washington Street,225294,"Fast Food Restaurant, Medical Office, Office",13386445.5,0.566708825,0.1122404,0.321050775,,,,,82,
295 COMMONWEALTH ELDERLY,"2101848000, 2101849000",Multifamily Housing,"2-4,6-8 Fidelis Way",71938,Multifamily Housing,4169432.2,0.314596865,0.685403135,,,,,,,
298 HAMPTON HOUSE,900890000,Multifamily Housing,155 Northhampton St.,55472,Multifamily Housing,4636985.3,0.776732654,0.223267346,,,,,,3,
299 WASHINGTON MANOR,900650000,Multifamily Housing,1701 Washington St.,55472,Multifamily Housing,3518250.3,0.982998623,0.017001405,,,,,,9,
29WHY-Sheraton Boston Hotel,401037300,Hotel,39 Dalton Street,1040000,Hotel,122496503.8,0.303780208,0.653121497,0.043098295,,,,,62,
3 PO Square,304673000,Office,79 Milk Street,64879,Office,8147748.8,0.348507099,0.651492901,,,,,,36,
3/15 Lorraine Terrace,2101822000,Multifamily Housing,3/15 Lorraine Terrace,28116,Multifamily Housing,581900.2,0.758549662,0.241450338,,,,,,100,
30 Dalton,401323010,Multifamily Housing,30 Dalton Street,260000,"Food Sales, Multifamily Housing, Parking",11759482.3,0.627642418,0.372357582,,,,,,75,
30 Fairlawn,1801935000,Multifamily Housing,15 Bismark Street,19200,Multifamily Housing,1444040.2,0.097520485,,,0.902479585,,,,,
30 Federal Street,304671000,Office,30 Federal Street,50000,Office,2221388.5,0.662091615,0.337908385,,,,,,83,
"300 A Street, LLC",601166060,Office,300 A Street ,111683,Office,9533471.7,0.466700048,0.533299952,,,,,,68,
300 Babcock Street,2100412000,College/University,300 Babcock Street,88000,College/University,6346364.1,0.241838063,0.758161937,,,,,,,
300 CENTRAL OFFICE,304555000,Office,52 Chauncy St.,79056,Office,4061174.5,0.822007254,0.177992721,,,,,,74,
303 Congress Street,602691000,Office,305 Congress Street,74673,Office,3752924.5,0.526832847,0.473167153,,,,,,86,
30-38 Cummington Street,2100287000,Laboratory,30-38 Cummington Street,36563,Laboratory,9088383.6,0.329904022,0.670095978,,,,,,,
31 Hemenway Street,401763000,College/University,31 Hemenway Street ,38783,College/University,5575271.8,0.539034079,0.460965921,,,,,,,
31 Milk Street,"304642000, 304642004",Office,31 Milk Street,95599,Office,8488796.2,0.386320524,0.613679464,,,,,,62,
311 Summer St,602763010,Office,311 Summer St,57865,Office,4245429.4,0.642247072,0.357752952,,,,,,60,
313 Congress Street,602692000,Office,313 Congress Street,72912,Office,4087378.9,0.81046981,0.189530166,,,,,,76,
31-35 Gardner,2100611000,Multifamily Housing,31-35 Gardner ,31348,Multifamily Housing,Not Available,,,,,,,,,
315 on A - 24305,602761030,Multifamily Housing,315 A Street,207496,"Multifamily Housing, Parking",10725415.6,0.436455926,0.556211556,,0.000598298,,,,88,21168.6
320 Summer Street,"602689000, 602690000",Office,320 Summer Street,115331,Office,8550999.5,0.660811581,0.339188419,,,,,,69,
321 Summer Street,602764000,Office,321 Summer Street,91482,"Office, Parking",6567843.8,0.544001518,0.455998497,,,,,,76,
32-38 Bromfield Street,304761000,Office,32-38 Bromfield Street,41818,Office,4083622.8,0.190829133,0.112637974,0.696532892,,,,,56,
33 Broad Street,303840000,Office,33 Broad Street,40933,"Food Service, Office, Self-Storage Facility",4850108.9,0.203399474,0.796600546,,,,,,39,
33 Gainsborough Street,402282000,College/University,33 Gainsborough Street,54000,College/University,6859121.1,0.12087018,0.87912982,,,,,,,
33 Harry Agganis Way,2100401000,Residence Hall/Dormitory,33 Harry Agganis,399578,Residence Hall/Dormitory,45738528.6,0.278376506,0.721623494,,,,,,49,
33/41 Farnsworth Street,602660010,Office,33/41 Farnsworth Street,94381,Office,8303460.8,0.557258836,0.442741164,,,,,,67,
330 Congress Street,602668000,Office,330 Congress Street,36394,"Convenience Store without Gas Station, Office",2158559.5,0.883336688,0.116663312,,,,,,69,
332 Congress Street,602667000,Office,332 Congress Street,36192,"Office, Restaurant",2852833.8,0.736832829,0.263167171,,,,,,39,
333 Longwood Ave,401855000,Medical Office,333 Longwood Ave,89787,Medical Office,7297219,1,,,,,,,50,
333 Summer,"602765015, 602765030",Office,333 Summer Street,117801,Office,5282987.7,0.994529592,0.005470389,,,,,,84,
333 Washington Condo Trust,304721000,Other - Mall,333 Washington Street,143954,Other - Mall,14453083.4,0.575193111,0.424806889,,,,,,,
337 Huntington Avenue,401679000,College/University,337 Huntington Avenue,50023,College/University,3545007.4,0.056983661,0.943016339,,,,,,,
33751-Boston Marriott Long Wharf,303020000,Hotel,296 State Street,350000,Hotel,29148700.9,0.668767403,0.331232597,,,,,,64,
